# Typed slots for quarantined pilot topics (ADR-0039 slot-audit protocol).
#
# This is the manual review gate the importer deliberately refuses to
# automate: a topic leaves missing_typed_slots only when an editor has
# assigned its predicate slots. The column scheme mirrors the audited
# profile (qxfx0-plan-v2 era: qxfx0-semantic/assets/argued_topics.tsv):
#
#   topic           normalized pilot topic, must be a review-passed candidate
#   predicate_id    stable semantic id of the chosen source predicate
#   subject_id      seed graph atom id of the topic (verified to exist)
#   relation_id     semantic id of the head relation
#   object_id       semantic id of the governed object
#   thesis_surface  VERBATIM russian surface from the source row (the
#                   importer re-checks it against the corpus row and
#                   rejects a paraphrase as audited_surface_not_in_source_row)
#
# Measurement only: `import_haskell_corpus.py --typed-slots <this file>`
# merges these rows into the audited index for quarantine re-measurement.
# Nothing here promotes a topic; activation remains a separately reviewed
# catalog lifecycle decision.
#
# The first four rows are hand-reviewed. The rest are drafted by
# scripts/generate_typed_slots.py under deterministic rules (verbatim prop
# surface, transliterated verb/object slugs) and committed for review —
# reruns append nothing new.
topic	predicate_id	subject_id	relation_id	object_id	thesis_surface
доказательство	proof_confirms_truth	dokazatelstvo	podtverzhdaet	istinnost	доказательство подтверждает истинность
воспроизводимость	reproducibility_tests_truth	vosproizvodimost	proveryaet	istinnost	воспроизводимость проверяет истинность
выбор	choice_defines_action_direction	vybor	opredelyaet	napravlenie_deystviya	выбор определяет направление действия
закон	law_establishes_order	zakon	ustanavlivaet	poryadok	закон устанавливает порядок
автономия суждения	avtonomiya_suzhdeniya_suzhdeniya	avtonomiya_suzhdeniya	suzhdeniya	trebuet_nezavisimosti_ot_vneshnikh_avtoritetov	автономия суждения требует независимости от внешних авторитетов
аксиома	aksioma_prinimaetsya	aksioma	prinimaetsya	bez_dokazatelstva	аксиома принимается без доказательства
акт доверия	akt_doveriya_doveriya	akt_doveriya	doveriya	otkryvaet_vozmozhnost_sotrudnichestva	акт доверия открывает возможность сотрудничества
акт обращения к личному прошлому	akt_obrascheniya_k_lichnomu_proshlomu_obrascheniya	akt_obrascheniya_k_lichnomu_proshlomu	obrascheniya	k_lichnomu_proshlomu_vosproizvodit_perezhitoe	акт обращения к личному прошлому воспроизводит пережитое
актом отказа или знаком присутствия	aktom_otkaza_ili_znakom_prisutstviya_otkaza	aktom_otkaza_ili_znakom_prisutstviya	otkaza	ili_znakom_prisutstviya_molchanie_vyrazhaet_pozitsiyu	актом отказа или знаком присутствия молчание выражает позицию
актуализация прошлого	aktualizatsiya_proshlogo_proshlogo	aktualizatsiya_proshlogo	proshlogo	delaet_ego_aktualnym_dlya_nastoyaschego	актуализация прошлого делает его актуальным для настоящего
